UID,Latitude,Longitude,Name,Sovereign,Success
1,-28,114,Australian Exclusive Economic Zone,Australia,FOUND
2,-35,117,Australian Exclusive Economic Zone,Australia,FOUND
3,-32.15,133.65,Australian Exclusive Economic Zone,Australia,FOUND
4,-32,115.5,Australian Exclusive Economic Zone,Australia,FOUND
5,-31.98,115.45,Australian Exclusive Economic Zone,Australia,FOUND
6,-32.47,115.02,Australian Exclusive Economic Zone,Australia,FOUND
7,-29,114,Australian Exclusive Economic Zone,Australia,FOUND
8,-33.98,122.23,Australian Exclusive Economic Zone,Australia,FOUND
9,-33.97,122.23,Australian Exclusive Economic Zone,Australia,FOUND
10,-26.7,112.7,Australian Exclusive Economic Zone,Australia,FOUND
11,-33.6,134.783,Australian Exclusive Economic Zone,Australia,FOUND
12,-31.73,115.67,Australian Exclusive Economic Zone,Australia,FOUND
13,-32.517,133.3,Australian Exclusive Economic Zone,Australia,FOUND
14,-32.4,115.1,Australian Exclusive Economic Zone,Australia,FOUND
15,-32.583,129.533,Australian Exclusive Economic Zone,Australia,FOUND
16,-33.342,124.75,Australian Exclusive Economic Zone,Australia,FOUND
17,-32.775,125.375,Australian Exclusive Economic Zone,Australia,FOUND
18,8.21,-78.5,Panamanian Exclusive Economic Zone,Panama,FOUND
19,9.93,-84.73,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
20,9.91,-84.78,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
21,13.153,-88.011,El Salvador Exclusive Economic Zone,El Salvador,FOUND
22,13.112,-88.419,El Salvador Exclusive Economic Zone,El Salvador,FOUND
23,8,-80,Panamanian Exclusive Economic Zone,Panama,FOUND
24,9.45,-84.28,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
25,7.58,-81.23,Panamanian Exclusive Economic Zone,Panama,FOUND
26,16.917,-99.967,,,NOT FOUND
27,8.05,-80.43,Panamanian Exclusive Economic Zone,Panama,FOUND
28,7.36,-80.33,Panamanian Exclusive Economic Zone,Panama,FOUND
29,7.96,-80.31,Panamanian Exclusive Economic Zone,Panama,FOUND
30,8.22,-78.32,Panamanian Exclusive Economic Zone,Panama,FOUND
31,13.195,-87.878,El Salvador Exclusive Economic Zone,El Salvador,FOUND
32,9.79,-84.67,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
33,10.09,-84.98,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
34,13.187,-87.801,El Salvador Exclusive Economic Zone,El Salvador,FOUND
35,8.22,-78.46,Panamanian Exclusive Economic Zone,Panama,FOUND
36,13.234,-87.833,El Salvador Exclusive Economic Zone,El Salvador,FOUND
37,14.41,-92.83,Mexican Exclusive Economic Zone,Mexico,FOUND
38,10.04,-84.96,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
39,9.86,-84.71,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
40,9.14,-83.73,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
41,11.2,-86.2,Nicaraguan Exclusive Economic Zone,Nicaragua,FOUND
42,13.109,-87.786,El Salvador Exclusive Economic Zone,El Salvador,FOUND
43,8.1,-80.5,,,NOT FOUND
44,9.78,-84.63,,,NOT FOUND
45,13.75,-90.41,Guatemalan Exclusive Economic Zone,Guatemala,FOUND
46,9.95,-84.87,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
47,13.1,-87.8,El Salvador Exclusive Economic Zone,El Salvador,FOUND
48,8.5,-79.77,Panamanian Exclusive Economic Zone,Panama,FOUND
49,13.23,-87.83,El Salvador Exclusive Economic Zone,El Salvador,FOUND
50,8.08,-82.23,Panamanian Exclusive Economic Zone,Panama,FOUND
51,13.13,-87.83,El Salvador Exclusive Economic Zone,El Salvador,FOUND
52,8.05,-82.25,Panamanian Exclusive Economic Zone,Panama,FOUND
53,13,-89,El Salvador Exclusive Economic Zone,El Salvador,FOUND
54,13.15,-88.01,El Salvador Exclusive Economic Zone,El Salvador,FOUND
55,13.11,-87.79,El Salvador Exclusive Economic Zone,El Salvador,FOUND
56,3.97,-77.32,Colombian Exclusive Economic Zone,Colombia,FOUND
57,13.11,-88.42,El Salvador Exclusive Economic Zone,El Salvador,FOUND
58,8.25,-78.433,Panamanian Exclusive Economic Zone,Panama,FOUND
59,13.19,-87.8,El Salvador Exclusive Economic Zone,El Salvador,FOUND
60,9,-84,Costa Rican Exclusive Economic Zone,Costa Rica,FOUND
61,8.37,-82.44,,,NOT FOUND
62,15.98,-94.64,Mexican Exclusive Economic Zone,Mexico,FOUND
